,Player Name,Player_ID
0,Aamer Hameed,2601
1,Aamer Hanif,2602
2,Aamer Malik,1068
3,Aamer Yamin,4480
4,Aamir Kaleem,4465
5,Aamir Nazir,1259
6,Aamir Sohail,1653
7,Aaqib Javed,0869
8,Aarif Sheikh,4808
9,"Aaron, V R",3916
10,"Ababu, J",2603
11,Abbas Saad,4868
12,"Abbasi, Z",5173
13,"Abbott, K J",4002
14,"Abbott, S A",4331
15,Abdul Jabbar,3503
16,Abdul Kadir,0902
17,Abdul Qadir,1408
18,Abdul Rashid,5105
19,Abdul Razzaq,2191
20,Abdul Rehman,3200
21,Abdul Shakoor,4450
22,Abdul Wahid,4870
23,"Abdulla, Y A",3694
24,Abdullah Mazari,3827
25,Abdul-Shakoor Rahimzei,5096
26,Abdur Rauf,3526
27,Abdur Razzak,3180
28,Abdur Rehman,3446
29,"A'Beckett, E L",0001
30,"Abel, R",0005
31,Abid Ali,4992
32,"Abid Ali, S",0006
33,"Abioye, A S",5128
34,"Aboagye, I K O",5137
35,"Aboagye, M",5138
36,"Abolarin, R A",5129
37,"Abrahams, S",2604
38,"Absolom, C A",0007
39,Abu Hider,4515
40,Abu Jayed,4738
41,Abul Hasan,3965
42,"Achelam, F",5177
43,"Achong, E",0008
44,"Ackerman, H D",2128
45,"Adair, M R",5089
46,"Adams, A R",2963
47,"Adams, C J",2198
48,"Adams, J C",0009
49,"Adams, P R",2044
50,"Adcock, N A T",0010
51,Adeel Raja,3040
52,"Adewoye, V D",5127
53,"Adhikari, H R",0011
54,Adil Hanif,4867
55,Adnan Akmal,3835
56,Adnan Ilyas,4497
57,Adnan Mufti,4640
58,Afaq Hussain,0819
59,Afif Hossain,4734
60,Afsar Zazai,4245
61,Aftab Ahmed,3224
62,Aftab Alam,3762
63,Aftab Baloch,0123
64,Aftab Gul,0672
65,"Afzaal, U",2976
66,Afzaal Haider,3190
67,"Aga, R G",3223
68,"Agar, A C",4224
69,"Agarkar, A B",2159
70,"Agarwal, M A",4104
71,Agha Saadat Ali,0036
72,Agha Zahid,1962
73,"Agius, G J",5010
74,"Agnew, J P",0012
75,"Ahangama, F S",0013
76,"Ahmed, K K",4539
77,"Ahmed, R I",4446
78,Ahmed Hassan,4880
79,Ahmed Kamal,2605
80,Ahmed Raza,4258
81,Ahmed Shah,3726
82,Ahmed Shehzad,3675
83,Ahmed Wardak,5097
84,Ahsan Malik,3869
85,"Ahuja, K K",5035
86,Aijaz Ali,3218
87,"Airee, D S",4809
88,"Airee, P S",4440
89,Aizaz Cheema,3890
90,Aizaz Khan,4275
91,Ajmal Shahzad,3765
92,"Akachukwu, C M",5169
93,Akhtar Sarfraz,2606
94,Akram Khan,2237
95,Akram Raza,1445
96,Al Sahariar Rokon,2238
97,"Alabaster, J C",0030
98,Alam Talukdar,2607
99,Alamgir Kabir,3025
100,Al-Amin Hossain,4247
101,Alawi Shukri,3570
102,"Alderman, T M",0032
103,"Aldridge, G W",3913
104,"Alexander, F C M",0033
105,"Alexander, G",0034
106,"Alexander, H H",0035
107,"Alexander, R P",3211
108,"Algar, A D",4998
109,"Ali, I",0040
110,"Ali, I",0039
111,"Ali, M M",4271
112,"Ali, R W",2608
113,Ali Asad,3201
114,Ali Hussain Rizvi,2117
115,Ali Khan,5021
116,Alimuddin,0048
117,"Allan, D I",3891
118,"Allan, D W",0049
119,"Allan, F E",0050
120,"Allan, P J",0051
121,"Allcott, C F W",0052
122,"Allen, D A",0053
123,"Allen, F A",4826
124,"Allen, G O B",0054
125,"Allen, I B A",0055
126,"Allen, R C",0056
127,"Alleyne, M W",2609
128,"Allingham, M J D",2610
129,"Allom, M J C",0057
130,"Allott, G I",2049
131,"Allott, P J W",0058
132,Alok Kapali,3031
133,"Amalean, K N",0060
134,Aman Ali,3571
135,"Amar Singh, L",0061
136,"Amarnath, L",0062
137,"Amarnath, M",0063
138,"Amarnath, S",0064
139,"Ambris, S W",4702
140,"Ambrose, C E L",0065
141,"Ambrose, T R",3534
142,Ameel Mauroof,4887
143,"Amerasinghe, M J G",0066
144,"Amerasinghe, M K D",3466
145,"Ames, L E G",0067
146,"Amini, C J A",4346
147,"Amini, C R",4350
148,Aminul Islam,2236
149,Aminul Islam Jnr,2611
150,Amir Ali,4468
151,Amir Elahi,0504
152,Amir Hamza,3935
153,Amir Hayat,4727
154,Amir Mangal,5113
155,"Amiss, D L",0068
156,Amjad Ali,3553
157,Amjad Gul,4501
